relationships_followers/title,relationships_followers/string_list_data/0/href,relationships_followers/string_list_data/0/value,relationships_followers/string_list_data/0/timestamp
,https://www.instagram.com/baranovskii2424,baranovskii2424,1552245264
,https://www.instagram.com/danil4zzz,danil4zzz,1552242748
,https://www.instagram.com/newkyiv,newkyiv,1552237283
,https://www.instagram.com/zhegulinaoksana,zhegulinaoksana,1552235314
,https://www.instagram.com/vgnovikov,vgnovikov,1552232030
,https://www.instagram.com/liludenysova,liludenysova,1552228942
,https://www.instagram.com/vlad_kaminskiy90,vlad_kaminskiy90,1552226941
,https://www.instagram.com/kosekans007,kosekans007,1552226272
,https://www.instagram.com/al.bert1170,al.bert1170,1552224592
,https://www.instagram.com/itmy_hobby,itmy_hobby,1552223248
,https://www.instagram.com/martapetrishin,martapetrishin,1552222455
,https://www.instagram.com/veronika_trapeznikova,veronika_trapeznikova,1552222434
,https://www.instagram.com/_helen_kuzmenko,_helen_kuzmenko,1552217589
,https://www.instagram.com/inesa_glushchenko_,inesa_glushchenko_,1552216807
,https://www.instagram.com/pt.tkachuk,pt.tkachuk,1552213066
,https://www.instagram.com/k_yana_cactus,k_yana_cactus,1552204090
,https://www.instagram.com/nataliysikora,nataliysikora,1552199639
,https://www.instagram.com/arbuzov_artem1997,arbuzov_artem1997,1552163199
,https://www.instagram.com/sergey_adamov_73,sergey_adamov_73,1552160433
,https://www.instagram.com/_karyska_,_karyska_,1552158145
,https://www.instagram.com/_.s.o.f.i.y.a_,_.s.o.f.i.y.a_,1552158076
,https://www.instagram.com/vika_9338,vika_9338,1552157905
,https://www.instagram.com/t.marukhniac,t.marukhniac,1552149711
,https://www.instagram.com/nadezda_bieliaieva,nadezda_bieliaieva,1552149094
,https://www.instagram.com/lobanova_valeria,lobanova_valeria,1552148292
,https://www.instagram.com/katuha_love___,katuha_love___,1552139234
,https://www.instagram.com/christina.gavruschyk,christina.gavruschyk,1552138684
,https://www.instagram.com/irishka_ro25,irishka_ro25,1552137465
,https://www.instagram.com/irina__syromiatnikova,irina__syromiatnikova,1552137093
,https://www.instagram.com/karina_kotova_1243,karina_kotova_1243,1552135577
,https://www.instagram.com/zimbabd,zimbabd,1552134534
,https://www.instagram.com/cherryberry777,cherryberry777,1552130668
,https://www.instagram.com/anna_shcherbets,anna_shcherbets,1552128396
,https://www.instagram.com/taniushaandronik,taniushaandronik,1552120170
,https://www.instagram.com/koshevoyy,koshevoyy,1552117678
,https://www.instagram.com/radmylaisachenko,radmylaisachenko,1552111334
,https://www.instagram.com/m.smirnova2017,m.smirnova2017,1552102450
,https://www.instagram.com/kapinoskatya,kapinoskatya,1552084014
