"count";"username";"datetime";"text"
"180";"myroslavakopievskaya";"18:34:03 17-05-2021";"@irenachornenkaya"
"181";"myroslavakopievskaya";"18:34:09 17-05-2021";"@yaroslavanikolaevna"
"182";"ianalegedza";"18:34:20 17-05-2021";"@sofiakhomeniuk"
"183";"myroslavakopievskaya";"18:34:24 17-05-2021";"@ludmiladoljb"
"184";"katyakryvtsova";"18:34:35 17-05-2021";"@ylia.polischuk"
"185";"milaludmila1";"18:34:45 17-05-2021";"@myroslavakopievskaya"
"186";"milaludmila1";"18:34:49 17-05-2021";"@ksu_ksu1"
"187";"milaludmila1";"18:34:53 17-05-2021";"@katya_plnk"
"188";"katyakryvtsova";"18:34:55 17-05-2021";"@juliaduchinska"
"189";"milaludmila1";"18:34:57 17-05-2021";"@okolokotov"
"190";"milaludmila1";"18:35:04 17-05-2021";"@yana.voskoboinyk"
"191";"katyakryvtsova";"18:35:06 17-05-2021";"@microkorgcat"
"192";"milaludmila1";"18:35:08 17-05-2021";"@teaserok"
"193";"milaludmila1";"18:35:14 17-05-2021";"@bailomaksim"
"194";"podoydee";"18:35:18 17-05-2021";"@motsia"
"195";"milaludmila1";"18:35:19 17-05-2021";"@alinabailo"
"196";"podoydee";"18:35:23 17-05-2021";"@skvrskkk"
"197";"milaludmila1";"18:35:25 17-05-2021";"@svitlanalafazan"
"198";"milaludmila1";"18:35:30 17-05-2021";"@darya_sc"
"199";"podoydee";"18:35:31 17-05-2021";"@samsoboychik"
"200";"milaludmila1";"18:35:37 17-05-2021";"@svirolga"
"201";"milaludmila1";"18:35:46 17-05-2021";"@liubochka193"
"202";"milaludmila1";"18:35:52 17-05-2021";"@likhacheva7013"
"203";"podoydee";"18:35:55 17-05-2021";"@cheeeesnova"
"204";"milaludmila1";"18:36:11 17-05-2021";"@alonasytnik"
"205";"milaludmila1";"18:36:16 17-05-2021";"@alyona.haidai"
"206";"milaludmila1";"18:36:20 17-05-2021";"@tanusi4ka"
"207";"milaludmila1";"18:36:39 17-05-2021";"@taniagoriacheva_"
"208";"milaludmila1";"18:36:50 17-05-2021";"@a.demchenkoo"
"209";"milaludmila1";"18:37:08 17-05-2021";"@lyolya_kurganova_"
"210";"milaludmila1";"18:37:33 17-05-2021";"@alyon_ko"
"211";"milaludmila1";"18:37:44 17-05-2021";"@you.kornienko"
"212";"mamchur.natasha";"18:40:04 17-05-2021";"@marushka_margo"
"213";"mamchur.natasha";"18:40:19 17-05-2021";"@mykhail.voznuy"
"214";"mamchur.natasha";"18:40:27 17-05-2021";"@janchuk25"
"215";"mamchur.natasha";"18:40:42 17-05-2021";"@yuriy.grishchenko"
"216";"mamchur.natasha";"18:41:08 17-05-2021";"@ju_vortex"
"217";"kovamarikart";"18:41:18 17-05-2021";"@viktoria_kovalenko____"
"218";"mamchur.natasha";"18:41:19 17-05-2021";"@masya.olya"
"219";"mamchur.natasha";"18:41:42 17-05-2021";"@nadia.mykula"
"220";"mamchur.natasha";"18:41:53 17-05-2021";"@margo_mar18"
"221";"mamchur.natasha";"18:42:07 17-05-2021";"@b_e_n_1805"
"222";"mamchur.natasha";"18:42:43 17-05-2021";"@lia.lisa_"
"223";"mamchur.natasha";"18:42:54 17-05-2021";"@sandra_ua_"
"224";"ksu_ksu1";"18:46:55 17-05-2021";"@myroslavakopievskaya"
"225";"ksu_ksu1";"18:47:09 17-05-2021";"@milaludmila1"
"226";"_kulikovalina";"18:47:23 17-05-2021";"@vova.boroda__"
"227";"vova.boroda__";"18:48:51 17-05-2021";"@_kulikovalina"
"228";"barbalat_elena";"18:50:34 17-05-2021";"@olga_sanatarchuk"
"229";"barbalat_elena";"18:50:41 17-05-2021";"@missolya.33"
"230";"barbalat_elena";"18:50:46 17-05-2021";"@barbalatnadiukha"
"231";"barbalat_elena";"18:50:49 17-05-2021";"@barbalatsasa7"
"232";"barbalat_elena";"18:50:55 17-05-2021";"@ti_lisenkova"
"233";"barbalat_elena";"18:51:05 17-05-2021";"@lisenkoov"
"234";"barbalat_elena";"18:51:11 17-05-2021";"@___sifufer"
"235";"barbalat_elena";"18:51:28 17-05-2021";"@comebeinmylife"
"236";"ann_t68";"18:54:43 17-05-2021";"@nastsmirnova2020"
"237";"ann_t68";"18:54:48 17-05-2021";"@andrey_vedmedenko"
"238";"yana.voskoboinyk";"18:54:51 17-05-2021";"@milaludmila1 если ты выиграешь, но не отведёшь меня туда бесплатно кушац, я тебя заблокирую)"
"239";"ann_t68";"18:54:55 17-05-2021";"@anya_vovchenko_2203"
"240";"ann_t68";"18:55:00 17-05-2021";"@agnes_foxy"
"241";"ann_t68";"18:55:04 17-05-2021";"@dana_litvinenko"
"242";"ann_t68";"18:55:11 17-05-2021";"@anyuska_lipach21"
"243";"ann_t68";"18:55:18 17-05-2021";"@bogun_irina"
"244";"ann_t68";"18:55:24 17-05-2021";"@bo_echka"
"245";"ann_t68";"18:55:42 17-05-2021";"@boroda14_88"
"246";"ann_t68";"18:55:51 17-05-2021";"@bogunvova__0"
"247";"ann_t68";"18:56:04 17-05-2021";"@_s._a._18_"
"248";"ann_t68";"18:56:08 17-05-2021";"@_l._a._18_"
"249";"ann_t68";"18:56:13 17-05-2021";"@__vika_ve"
