"count";"username";"datetime";"text"
"175";"mdi5991";"16:41:40 17-07-2021";"@svetlanakrivokhizha"
"176";"oksanaolinska";"16:41:43 17-07-2021";"@galuna_jnovuh"
"177";"sher1vv";"16:41:44 17-07-2021";"@vitaliy.sherstyukov"
"178";"nastena_dyomina";"16:41:44 17-07-2021";"@angel_xranitel03"
"179";"liudmila_chaikun";"16:41:47 17-07-2021";"@sveta_slobodeniuk"
"180";"anna_buyna_pidvlasna";"16:41:48 17-07-2021";"@kozarenko268"
"181";"sher1vv";"16:41:49 17-07-2021";"@bondar6145"
"182";"julietta_ivc";"16:41:51 17-07-2021";"@victoria.kekukh"
"183";"oksanaolinska";"16:41:51 17-07-2021";"@0leh_lemberg"
"184";"sher1vv";"16:41:53 17-07-2021";"@irinasherstiukova"
"185";"anna_buyna_pidvlasna";"16:41:54 17-07-2021";"@kozarenkol"
"186";"mdi5991";"16:41:55 17-07-2021";"@kha_rchenk0v"
"187";"kravchenkoolena78";"16:41:55 17-07-2021";"@tarnysik"
"188";"sher1vv";"16:41:56 17-07-2021";"@liudasherstiukova"
"189";"liudmila_chaikun";"16:41:56 17-07-2021";"@victoria_chaikun_dancer"
"190";"julietta_ivc";"16:42:00 17-07-2021";"@bazyl.a"
"191";"kravchenkoolena78";"16:42:00 17-07-2021";"@moiseenko6464"
"192";"sher1vv";"16:42:01 17-07-2021";"@nadiushka9768"
"193";"oksanaolinska";"16:42:02 17-07-2021";"@@n.gritsko"
"194";"natali4ka_a";"16:42:04 17-07-2021";"@sashagrabarchuk"
"195";"kravchenkoolena78";"16:42:05 17-07-2021";"@rudkovskaiatatiana"
"196";"nastena_dyomina";"16:42:06 17-07-2021";"@rozbiunik____"
"197";"svetik_uhimenko";"16:42:08 17-07-2021";"@yurkosvetlana"
"198";"pivovarovasofia16";"16:42:11 17-07-2021";"@love.chinchilla.560"
"199";"natali4ka_a";"16:42:11 17-07-2021";"@max_hrabarchuk"
"200";"alenkabless";"16:42:13 17-07-2021";"@juliend777"
"201";"meowwwzhenya";"16:42:14 17-07-2021";"@m.a.l.o.v.a @shuruymimo"
"202";"alenkabless";"16:42:18 17-07-2021";"@li.lia9042"
"203";"natali4ka_a";"16:42:20 17-07-2021";"@svitlanka_otrotsyuk"
"204";"alenkabless";"16:42:22 17-07-2021";"@onenatalinochka"
"205";"alenkabless";"16:42:27 17-07-2021";"@elenametalfoxy"
"206";"julia_and_dana";"16:42:32 17-07-2021";"@kireev4525"
"207";"alenkabless";"16:42:36 17-07-2021";"@masha_olischuk"
"208";"oksanaolinska";"16:42:38 17-07-2021";"@maria_maruschack1979"
"209";"julia_and_dana";"16:42:41 17-07-2021";"@alena_tsymbalenko"
"210";"alenkabless";"16:42:44 17-07-2021";"@lsmalina"
"211";"kravchenkoolena78";"16:42:45 17-07-2021";"@zagorodniaiae"
"212";"julia_and_dana";"16:42:46 17-07-2021";"@alenkabless"
"213";"sher1vv";"16:42:47 17-07-2021";"@alena.kotenko28"
"214";"kseniasg1986";"16:42:48 17-07-2021";"@lenasimonan52"
"215";"sher1vv";"16:42:50 17-07-2021";"@snegonok_kiev"
"216";"kravchenkoolena78";"16:42:50 17-07-2021";"@zhilkina8511"
"217";"oksanaolinska";"16:42:50 17-07-2021";"@oksanazhumatii"
"218";"oksanaolinska";"16:42:55 17-07-2021";"@vvpavlyuk"
"219";"kravchenkoolena78";"16:42:56 17-07-2021";"@vergeles_svetlana"
"220";"sher1vv";"16:42:57 17-07-2021";"@rafaelies_.photo"
"221";"alenkabless";"16:42:58 17-07-2021";"@julia_and_dana"
"222";"kravchenkoolena78";"16:43:02 17-07-2021";"@masteroksana_"
"223";"greg_samokish";"16:43:03 17-07-2021";"@karat_motoschool"
"224";"oksanaolinska";"16:43:05 17-07-2021";"@przewodnik_we_lwowie"
"225";"kravchenkoolena78";"16:43:06 17-07-2021";"@anastasia_mstrnk"
"226";"kravchenkoolena78";"16:43:11 17-07-2021";"@tetianadyachenco"
"227";"kseniasg1986";"16:43:11 17-07-2021";"@gviktor2105"
"228";"alenkabless";"16:43:12 17-07-2021";"@ninasasha828"
"229";"kseniasg1986";"16:43:15 17-07-2021";"@irinairishka878"
"230";"kravchenkoolena78";"16:43:17 17-07-2021";"@katysha._aaa"
"231";"oksanaolinska";"16:43:18 17-07-2021";"@ingal_lviv"
"232";"yaroslavaego";"16:43:23 17-07-2021";"@aleksandrafenik"
"233";"andreevavaleriya";"16:43:23 17-07-2021";"@temsa.andreev"
"234";"kseniasg1986";"16:43:23 17-07-2021";"@yulzaya__"
"235";"kravchenkoolena78";"16:43:24 17-07-2021";"@natasha.fastovets"
"236";"kravchenkoolena78";"16:43:29 17-07-2021";"@l_i_z_a__v_s_k"
"237";"andreevavaleriya";"16:43:29 17-07-2021";"@dariiya_kolesnik"
"238";"kseniasg1986";"16:43:31 17-07-2021";"@irinairinka73"
"239";"kseniasg1986";"16:43:35 17-07-2021";"@polina_lee50"
"240";"gingerbread_marshmallows";"16:43:35 17-07-2021";"@nastya__sokolenko 💖🍣"
"241";"alinchikkk2.0";"16:43:36 17-07-2021";"@24_tanuska_25_"
"242";"alinchikkk2.0";"16:43:39 17-07-2021";"@yaroslavgorkyn"
"243";"alinchikkk2.0";"16:43:41 17-07-2021";"@oksi4ka_13_"
"244";"alinchikkk2.0";"16:43:44 17-07-2021";"@kagach_pasha"
"245";"alinchikkk2.0";"16:43:45 17-07-2021";"@pasha2.0.2.0"
"246";"alinchikkk2.0";"16:43:48 17-07-2021";"@licorne.enchantee"
"247";"kseniasg1986";"16:43:49 17-07-2021";"@polina.ivanivna.lysenko"
"248";"alinchikkk2.0";"16:43:51 17-07-2021";"@k.a.l.i.b_"
